Package Code	Package Description	Accessory #	Accessory	Code	CTD	Sell	Labour	Lab Hrs	Sundry	Sublet
MIN-604130-KIT02	Minn Kota - Instinct Quest 60" (White) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	3	MINN KOTA ELECTRIC STEER STABILIZER	603000	165	299	Minn Kota Accessory Installation	0.5	5	0
MIN-604130-KIT02	Minn Kota - Instinct Quest 60" (White) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	4	Battery, Lithium 24v 100Amp (Bluetooth)	111180	2422.824	2890	Installation Only - Fit Battery	0.25	0	0
MIN-604130-KIT02	Minn Kota - Instinct Quest 60" (White) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	5	Battery Charger - Lithium 20A 24V	111195	365.604	470	Installation Only - Fit Battery Charger	1.25	5	0
MIN-604130-KIT02	Minn Kota - Instinct Quest 60" (White) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	6	Circuit Breaker - 60 Amp Surface Mount	302255	36.91200000000001	39	Minn Kota Accessory Installation	0.5	5	0
MIN-604130-KIT02	Minn Kota - Instinct Quest 60" (White) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	7	Minn Kota Waterproof Plug - 60 Amp	603027	249.4954	289	Minn Kota Accessory Installation	0.5	5	0
MIN-604130-KIT02	Minn Kota - Instinct Quest 60" (White) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	8	Battery Holder Strap - MTD3BAT	MTD3BAT	5.76	10	Installation Only - Tie Down Straps	0.1	0	0
MIN-604130-KIT02	Minn Kota - Instinct Quest 60" (White) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	9	Battery Corner Locator Pack (Black)	BCL4BLK	24.348	40	Labour Estimated - (0.10)	0.1	1	0
MIN-604130-KIT02	Minn Kota - Instinct Quest 60" (White) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	10	Battery Webbing Holder (Black - Qty 2)	BWH2BLK	22.068	36	Labour Estimated - (0.10)	0.1	1	0
MIN-604140-KIT01	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 36v 100AMP Lithium Battery Setup	1	MINN KOTA - RT Instinct Quest - 60" Black	604140	7673.180350000001	8829	Minn Kota Motor Installation	4	80	0
MIN-604140-KIT01	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 36v 100AMP Lithium Battery Setup	2	MINN KOTA - Quick Release Bracket (Quest) Black	604202	644.76665	749	Minn Kota Accessory Installation	0.5	5	0
